title_id,title,genre,length,subscribers,rating,views,likes,status,daily_pass
3163,My Younger Brother's Friend,ROMANCE,37,309993,9.37,7587156,936825,ONGOING,FALSE
3162,The Blood of the Butterfly,FANTASY,35,418311,9.7,7735512,934776,ONGOING,FALSE
3141,The Horizon,DRAMA,2,186838,9.83,2398485,306061,COMPLETED,TRUE
3116,Lilac 200%,DRAMA,13,62272,9.15,1917737,303225,COMPLETED,TRUE
3115,'Til Debt Do Us Part,ROMANCE,9,234205,9.65,4677397,510796,COMPLETED,TRUE
3114,My Life as a Loser,DRAMA,7,160873,9.83,5179251,566876,COMPLETED,TRUE
3113,My Universe,ROMANCE,7,286071,9.34,7310099,942800,COMPLETED,TRUE
3093,After School Lessons for Unripe Apples,DRAMA,40,156082,9.91,4581731,773906,ONGOING,FALSE
3092,Moonlight Beauty Parlor,DRAMA,40,166181,9.68,3100882,502600,ONGOING,FALSE
3089,The Nuna at Our Office,DRAMA,41,224476,9.53,4101712,497948,ONGOING,FALSE
3066,The Matchmaking Baby Princess,FANTASY,36,216944,9.54,5352082,743660,ONGOING,FALSE
3065,There Must Be Happy Endings,ROMANCE,40,467841,9.73,14651676,1676944,ONGOING,FALSE
3064,My ID is Gangnam Beauty!,DRAMA,9,258090,9.45,8263928,960522,COMPLETED,TRUE
3049,SAMADHI,SUPER_HERO,38,195235,9.49,4439197,540307,COMPLETED,FALSE
3042,Tenants from Another World,FANTASY,40,206319,9.18,2667218,375689,ONGOING,FALSE
3041,The Dog Diaries,SLICE_OF_LIFE,41,83399,9.68,1829790,326514,ONGOING,FALSE
3040,The First Hunter,ACTION,41,189733,9.45,4395714,442980,ONGOING,FALSE
3039,Tricked into Becoming the Heroine's Stepmother,FANTASY,39,788264,9.71,26947424,3055106,ONGOING,FALSE
2972,Super Awkward Man,COMEDY,18,84645,9.5,1003711,137128,ONGOING,FALSE
2970,Anti-Monster Force,FANTASY,40,139856,9.34,2754031,335520,ONGOING,FALSE
2969,A Useless Villain,ACTION,40,386041,9.1,7823518,916991,ONGOING,FALSE
2968,Kidults,SLICE_OF_LIFE,41,147021,9.5,2239584,381609,ONGOING,FALSE
2966,The Princess's Jewels,FANTASY,40,399957,8.69,13857520,1420987,ONGOING,FALSE
2964,Morgana and Oz,FANTASY,18,747444,9.8,15273554,1637293,ONGOING,FALSE
2963,Vampire Magicka,FANTASY,6,57257,8.4,355572,29466,ONGOING,FALSE
2961,Cat vs. Dog,COMEDY,33,111790,9.39,2915130,363756,ONGOING,FALSE
2960,1HP Club,FANTASY,28,303170,9.67,6621057,858711,ONGOING,FALSE
2956,A Summer Night's Dream,ROMANCE,40,322279,8.05,6490423,740086,ONGOING,FALSE
2955,The Sound of Another,SF,41,199670,8.62,2896479,351852,ONGOING,FALSE
2923,Blue Matter,FANTASY,18,133198,9.67,1486406,212436,ONGOING,FALSE
2922,Forest of Humans,THRILLER,5,117855,9.53,2669600,335645,COMPLETED,TRUE
2921,Sixth Sense Kiss,ROMANCE,44,713443,9.75,27725761,2632956,ONGOING,FALSE
2886,The Ember Knight,FANTASY,44,196230,9.78,5282918,655167,ONGOING,FALSE
